,lane_ID,id,parent_id,time_sec,length_um,gfp_nb
0,20190515.0.10,102,94,48960,2.405,19843.56156618
1,20190515.0.10,102,94,49140,2.4342500000000005,16931.512610100002
2,20190515.0.10,102,94,49320,2.48495,18885.90299112
3,20190515.0.10,102,94,49500,2.54475,21391.62070518
4,20190515.0.10,102,94,49680,2.6091,20897.842329540003
5,20190515.0.10,102,94,49860,2.7391,20626.39964088
6,20190515.0.10,102,94,50040,2.7482,20994.95912382
7,20190515.0.10,102,94,50220,2.86975,21022.27581564
8,20190515.0.10,102,94,50400,2.93475,20762.7348951
9,20190515.0.10,102,94,50580,3.055,23960.6923644
10,20190515.0.10,102,94,50760,3.25,24616.65902256
11,20190515.0.10,102,94,50940,3.26495,22266.273678660003
12,20190515.0.10,102,94,51120,3.57955,25683.91611786
13,20190515.0.10,102,94,51300,3.64975,24983.2175571
14,20190515.0.10,102,94,51480,3.84215,26901.270560340003
15,20190515.0.10,102,94,51660,4.0365,28547.39150406
16,20190515.0.10,102,94,51840,4.1080000000000005,27890.66320524
17,20190515.0.10,102,94,52020,4.29455,29601.83389482
18,20190515.0.10,102,94,52200,4.4291,30247.86329136
19,20190515.0.10,103,94,48960,2.0423,18929.8982169
20,20190515.0.10,103,94,49140,2.1021,18270.98744526
21,20190515.0.10,103,94,49320,2.1833500000000003,18045.47131002
22,20190515.0.10,103,94,49500,2.28995,20901.30656922
23,20190515.0.10,103,94,49680,2.30555,19544.8440726
24,20190515.0.10,103,94,49860,2.34,19169.213201820003
25,20190515.0.10,103,94,50040,2.4843,20650.26493332
26,20190515.0.10,103,94,50220,2.60325,21013.85250756
27,20190515.0.10,103,94,50400,2.6227500000000004,20497.5494955
28,20190515.0.10,103,94,50580,2.7417,23258.485465380003
29,20190515.0.10,103,94,50760,2.82165,23660.83215342
30,20190515.0.10,103,94,50940,3.0056000000000003,22508.48937546
31,20190515.0.10,103,94,51120,3.19475,25464.92574582
32,20190515.0.10,103,94,51300,3.19865,25178.48354538
33,20190515.0.10,103,94,51480,3.2695,26341.394985180003
34,20190515.0.10,103,94,51660,3.45735,28921.1449329
35,20190515.0.10,103,94,51840,3.59385,29757.01711752
36,20190515.0.10,104,95,49140,1.9773000000000005,14999.06184282
37,20190515.0.10,104,95,49320,2.08,16212.98058336
38,20190515.0.10,104,95,49500,2.1762,18139.13716032
39,20190515.0.10,104,95,49680,2.23405,17830.37227752
40,20190515.0.10,104,95,49860,2.275,17722.93778442
41,20190515.0.10,104,95,50040,2.405,20219.98371426
42,20190515.0.10,104,95,50220,2.4791000000000003,20275.4907333
43,20190515.0.10,104,95,50400,2.665,21164.3687079
